,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT
6540,Residential Apartment,Gurgaon,1,3.0,2,3,5,34.0,12901.0,2054,2054.0,26500000.0,3.0,33,3.0,Sector 65,28.40614,77.06529,Luxury,
6541,Residential Apartment,Gurgaon,1,3.0,2,3,5,34.0,12892.0,2040,2040.0,26300000.0,3.0,27,3.0,Sector 65,28.40614,77.06529,Luxury,
6542,Residential Apartment,Gurgaon,1,2.0,2,3,5,34.0,12840.0,1433,1433.0,18400000.0,2.0,8,3.0,Sector 65,28.40614,77.06529,Luxury,
6543,Residential Apartment,Gurgaon,1,2.0,2,3,5,34.0,12926.0,1261,1261.0,16299999.999999998,2.0,22,2.0,Sector 65,28.40614,77.06529,Luxury,
6544,Residential Apartment,Gurgaon,1,3.0,4,8,1,19.0,8428.0,1833,1833.0,11800000.0,4.0,19,,Sector 37D,28.452985,76.976231,Luxury,1400.0
6545,Residential Apartment,Gurgaon,1,3.0,1,5,6,14.0,10000.0,1650,,15900000.0,3.0,13,3.0,Sector 102,28.472552,76.9655,Luxury,1650.0
6546,Residential Apartment,Gurgaon,1,3.0,1,3,6,17.0,12000.0,1895,,22799999.999999996,3.0,3,3.0,Sector 66,28.401406,77.050549,Luxury,1895.0
6547,Independent House/Villa,Gurgaon,1,4.0,4,5,3,1.0,277777.0,3240,,100000000.0,2.0,,4.0,Nirvana Country,28.42049,77.06328,Luxury,
6548,Residential Apartment,Gurgaon,1,4.0,4,5,3,10.0,7600.0,2500,,19000000.0,3.0,8,4.0,Sector 45,28.4595,77.02664,Luxury,2500.0
6549,Residential Apartment,Gurgaon,1,3.0,2,1,1,20.0,9750.0,1997,1997.0,15600000.0,3.0,8,,Sector 99A,28.456241,76.953943,Luxury,1600.0
6550,Independent/Builder Floor,Gurgaon,1,3.0,4,5,5,4.0,14545.0,1600,1600.0,16000000.0,4.0,1,,Sector 93,28.41828,76.92644,Luxury,1100.0
6551,Residential Apartment,Gurgaon,1,3.0,4,5,3,4.0,12500.0,1400,,17500000.0,3.0,1,3.0,Sector 15,28.4558436,77.0406147,Luxury,1400.0
6552,Independent/Builder Floor,Gurgaon,1,3.0,4,3,3,2.0,80000.0,1800,,16000000.0,3.0,1,3.0,DLF Phase 1,28.4754909,77.1032095,Luxury,1800.00000000018
6553,Residential Apartment,Gurgaon,1,4.0,1,3,5,32.0,16000.0,3039,,48600000.0,4.0,11,4.0,Sector 62,28.40356,77.085012,Luxury,3039.0
6554,Residential Apartment,Gurgaon,1,4.0,1,5,1,21.0,16000.0,5010,,80200000.0,4.0,6,3.0,Sector 65,28.4008819,77.0683607,Luxury,
6555,Residential Apartment,Gurgaon,1,3.0,0,3,5,36.0,11500.0,1665,,19100000.0,2.0,11,3.0,Sector 113,28.522621253811,77.025486549749,Luxury,1665.0
6556,Residential Apartment,Gurgaon,1,4.0,0,3,5,24.0,10210.0,2901,2901.0,29600000.0,3.0,6,4.0,Sector 108,28.516331087497,76.995685046165,Luxury,1911.0
6557,Residential Apartment,Gurgaon,1,3.0,1,3,5,33.0,17472.0,2295,,40100000.0,3.0,6,3.0,Sector 59,28.409433,77.105276,Luxury,2295.0
6558,Residential Apartment,Gurgaon,1,3.0,0,0,5,34.0,13500.0,1855,,25000000.0,3.0,7,3.0,Sector 106,28.509518516781,76.988676053722,Luxury,1855.0
6559,Residential Apartment,Gurgaon,1,3.0,1,5,5,47.0,13000.0,1860,1860.0,24200000.0,3.0,6,3.0,Sector 65,28.40845,77.06856,Luxury,
6560,Residential Apartment,Gurgaon,1,2.0,1,5,5,47.0,13000.0,1440,,18700000.0,2.0,3,3.0,Sector 65,28.40845,77.06856,Luxury,
6561,Residential Apartment,Gurgaon,1,2.0,0,3,1,23.0,8500.0,1410,1410.0,12000000.0,1.0,6,2.0,Sector 37D,28.455542686641,76.9733897433,Luxury,
6562,Residential Apartment,Gurgaon,1,4.0,1,3,5,47.0,21500.0,6050,,130700000.0,4.0,4,4.0,Sector 65,28.40185,77.061015,Luxury,6050.0
6563,Residential Apartment,Gurgaon,1,3.0,4,5,5,12.0,7547.0,2120,2120.0,16000000.0,2.0,7,3.0,Sector 85,28.401311,76.9513432,Luxury,
6564,Residential Apartment,Gurgaon,1,2.0,4,5,1,11.0,6666.0,1450,1450.0,8000000.0,4.0,2,2.0,Sector 103,28.495485,76.988401,Luxury,1200.0
6565,Residential Apartment,Gurgaon,1,3.0,4,1,6,14.0,10243.0,1850,1850.0,18900000.0,3.0,2,3.0,Sector 67A,28.386101,77.070028,Luxury,
6566,Residential Apartment,Gurgaon,1,3.0,4,3,1,14.0,9791.0,1920,1920.0,18800000.0,3.0,7,3.0,Sector 67A,28.386101,77.070028,Luxury,
6567,Residential Apartment,Gurgaon,1,2.0,4,3,1,14.0,10411.0,1484,1484.0,15400000.0,3.0,7,2.0,Sector 67A,28.386101,77.070028,Luxury,
6568,Residential Apartment,Gurgaon,1,2.0,4,1,1,14.0,10037.0,1350,1350.0,13600000.000000002,3.0,9,2.0,Sector 67A,28.386101,77.070028,Luxury,
6569,Residential Apartment,Gurgaon,1,2.0,4,1,1,14.0,10223.0,1296,1296.0,13300000.0,3.0,3,2.0,Sector 67A,28.386101,77.070028,Luxury,
6570,Independent/Builder Floor,Gurgaon,1,3.0,4,3,6,4.0,8864.0,1850,1850.0,16399999.999999998,2.0,3,3.0,Sushant Lok Phase 2,28.47805,77.074159,Luxury,
6571,Independent/Builder Floor,Gurgaon,1,4.0,4,0,6,4.0,83000.0,2700,,24900000.000000004,2.0,G,,Sushant Lok Phase 2,28.47805,77.074159,Luxury,2700.00000000027
6572,Residential Apartment,Gurgaon,1,3.0,4,1,2,12.0,11764.0,1700,1700.0,20000000.0,3.0,12,3.0,Sector 28,28.475639,77.0823482,Luxury,1600.0
6573,Residential Apartment,Gurgaon,1,2.0,0,0,1,29.0,9882.0,1700,1700.0,16800000.0,3.0,11,,Sector 104,28.47878,76.99599,Luxury,
6574,Residential Apartment,Gurgaon,3,3.0,2,5,5,24.0,5896.0,2035,,12000000.0,4.0,5,,Sector 37C,28.451194,76.989289,Luxury,2035.0
6575,Residential Apartment,Gurgaon,2,3.0,2,6,5,23.0,5950.0,1815,1815.0,10800000.0,4.0,19,,Sector 37C,28.451194,76.989289,Luxury,1500.0
6576,Residential Apartment,Gurgaon,2,2.0,2,6,5,23.0,5956.0,1578,1578.0,9400000.0,4.0,22,,Sector 37C,28.451194,76.989289,Luxury,1300.0
6577,Residential Apartment,Gurgaon,1,3.0,4,5,3,16.0,14177.0,2116,2116.0,30000000.0,3.0,9,3.0,Sector 41,28.4580615,77.0636419,Luxury,2000.0
6578,Residential Apartment,Gurgaon,1,3.0,0,8,3,13.0,6916.0,2024,,14000000.0,4.0,6,3.0,Sector 45,28.4439933,77.06652,Luxury,2024.0
6579,Residential Apartment,Gurgaon,1,4.0,4,6,3,12.0,5959.0,2450,2450.0,14600000.0,4.0,12,4.0,Sector 39,28.4423313,77.0492504,Luxury,1600.0
6580,Residential Apartment,Gurgaon,1,5.0,0,5,3,12.0,6818.0,3300,3300.0,22500000.0,3.0,1,5.0,Sector 39,28.4423313,77.0492504,Luxury,2650.0
6581,Residential Apartment,Gurgaon,1,3.0,4,3,3,9.0,10740.0,2700,,29000000.0,3.0,9,3.0,Sector 47,28.4266134,77.0545575,Luxury,2700.0
6582,Residential Apartment,Gurgaon,1,3.0,1,5,3,9.0,9062.0,1600,1600.0,14500000.0,3.0,9,3.0,Sector 45,28.4439933,77.06652,Luxury,1500.0
6583,Residential Apartment,Gurgaon,1,4.0,4,7,3,10.0,6138.0,3030,3030.0,18600000.0,3.0,5,4.0,Sector 45,28.4439933,77.06652,Luxury,2100.0
6584,Residential Apartment,Gurgaon,1,3.0,4,5,3,10.0,8474.0,2360,,20000000.0,3.0,7,3.0,Sector 51,28.428074,77.0650809,Luxury,2360.0
6585,Residential Apartment,Gurgaon,1,3.0,4,5,1,30.0,23758.0,2315,2315.0,55000000.0,2.0,30,,Sector 54,28.443185,77.108897,Luxury,
6586,Residential Apartment,Gurgaon,1,4.0,4,5,6,12.0,7343.0,2560,2560.0,18800000.0,4.0,5,,Sector 85,28.405391,76.952235,Luxury,1800.0
6587,Independent/Builder Floor,Gurgaon,1,4.0,4,5,5,4.0,199999.0,3150,3150.000000000315,70000000.0,2.0,4,,DLF Phase 5,28.44029,77.10939,Luxury,
6588,Residential Apartment,Gurgaon,1,4.0,4,1,1,18.0,20058.0,3390,3390.0,68000000.0,4.0,9,4.0,Sector 53,28.4412952,77.0981743,Luxury,3020.0
6589,Residential Apartment,Gurgaon,1,3.0,4,4,2,17.0,10873.0,2805,2805.0,30500000.0,4.0,7,3.0,Sector 28,28.475639,77.0823482,Luxury,2560.0
6590,Residential Apartment,Gurgaon,1,4.0,4,5,5,22.0,19666.0,3300,3300.0,64900000.0,2.0,4,,Sushant Lok Phase 1,28.47272,77.07494,Luxury,
6591,Residential Apartment,Gurgaon,1,4.0,4,5,1,21.0,11864.0,2950,2950.0,35000000.0,4.0,10,4.0,Sector 111,28.519247,77.0272253,Luxury,2500.0
6592,Residential Apartment,Gurgaon,1,4.0,4,3,2,20.0,15652.0,2300,2300.0,36000000.0,3.0,18,4.0,DLF Phase 2,28.4889627,77.0866646,Luxury,2000.0
6593,Residential Apartment,Gurgaon,1,2.0,4,3,2,14.0,12545.0,1100,1100.0,13799999.999999998,4.0,13,2.0,Sector 28,28.475639,77.0823482,Luxury,1010.0
6594,Residential Apartment,Gurgaon,1,4.0,4,3,2,11.0,14346.0,3764,3764.0,54000000.0,4.0,5,4.0,Chakkarpur,28.471898,77.089512,Luxury,3500.0
6595,Residential Apartment,Gurgaon,1,4.0,4,1,2,10.0,11000.0,3000,3000.0,33000000.0,4.0,9,4.0,Suncity,28.43642,77.1099,Luxury,2620.0
6596,Residential Apartment,Gurgaon,1,4.0,4,1,2,12.0,11935.0,3100,3100.0,37000000.0,4.0,4,4.0,Chakkarpur,28.47203,77.08954,Luxury,2900.0
6597,Independent House/Villa,Gurgaon,1,5.0,2,3,6,3.0,287500.0,3600,,115000000.0,4.0,,5.0,Sector 109,28.513368,76.996723,Luxury,
6598,Residential Apartment,Gurgaon,1,4.0,2,1,1,28.0,11810.0,4848,4848.0,57500000.0,4.0,7,4.0,Sector 112,28.518677,77.015115,Luxury,
6599,Residential Apartment,Gurgaon,1,3.0,2,5,5,26.0,12234.0,1692,1692.0,20700000.0,3.0,12,3.0,Sector 102,28.479276836122,76.976094508889,Luxury,1320.0
6600,Residential Apartment,Gurgaon,1,3.0,2,8,5,24.0,17498.0,2343,2343.0,41000000.0,2.0,6,3.0,Sector 108,28.516331087497,76.995685046165,Luxury,1512.05
6601,Residential Apartment,Gurgaon,1,3.0,4,1,3,12.0,9715.0,1616,,15700000.0,2.0,8,2.0,Malibu Town,28.425675,77.043508,Luxury,1616.0
6602,Independent House/Villa,Gurgaon,1,4.0,2,5,6,2.0,225752.0,2691,,67500000.0,4.0,,5.0,Sector 70A,28.384583,77.023876,Luxury,
6603,Residential Apartment,Gurgaon,1,3.0,4,5,1,28.0,13740.0,2802,2802.0,38500000.0,3.0,9,3.0,Sector 112,28.518677,77.015115,Luxury,
6604,Residential Apartment,Gurgaon,1,3.0,2,5,1,27.0,10000.0,1750,1750.0,17500000.0,4.0,12,3.0,Sector 109,28.515309,77.003236,Luxury,
6605,Residential Apartment,Gurgaon,1,3.0,4,5,6,23.0,12649.0,2095,2095.0,26500000.0,3.0,12,3.0,Sector 109,28.508602,77.002116,Luxury,
6606,Residential Apartment,Gurgaon,1,3.0,4,8,6,28.0,13740.0,2802,2802.0,38500000.0,2.0,14,3.0,Sector 112,28.518677,77.015115,Luxury,
6607,Residential Apartment,Gurgaon,1,2.0,4,5,6,26.0,11037.0,1359,1359.0,15000000.0,3.0,16,2.0,Sector 102,28.479276836122,76.976094508889,Luxury,824.2
6608,Residential Apartment,Gurgaon,1,3.0,4,3,6,18.0,18422.0,2003,2003.0,36900000.0,2.0,1,3.0,Sector 108,28.516331087497,76.995685046165,Luxury,1280.17
6609,Independent/Builder Floor,Gurgaon,1,3.0,4,5,6,3.0,104000.0,2250,,21000000.0,3.0,2,,Sector 102,28.474861,76.976292,Luxury,
6610,Residential Apartment,Gurgaon,1,3.0,4,5,6,24.0,16890.0,1711,1711.0,28900000.0,3.0,16,3.0,Sector 108,28.516331087497,76.995685046165,Luxury,1343.0
6611,Residential Apartment,Gurgaon,1,3.0,4,5,5,35.0,16170.0,1689,1689.0,17500000.0,3.0,12,3.0,Sector 104,28.484795,76.999036,Luxury,1082.2
6612,Independent/Builder Floor,Gurgaon,1,4.0,4,6,1,4.0,19148.0,2350,,45000000.0,2.0,G,4.0,Sector 65,28.385662,77.06233,Luxury,2350.0
6613,Independent/Builder Floor,Gurgaon,1,4.0,4,3,1,4.0,15555.0,2250,,35000000.0,2.0,3,4.0,Sushant Lok Phase 1,28.4572434,77.0782527,Luxury,2250.0
6614,Independent/Builder Floor,Gurgaon,1,4.0,4,2,1,4.0,18333.0,3000,,55000000.0,2.0,1,4.0,Sushant Lok Phase 1,28.4572434,77.0782527,Luxury,3000.0
6615,Independent/Builder Floor,Gurgaon,1,4.0,4,4,1,4.0,12800.0,2500,,32000000.0,2.0,1,4.0,Sector 67,28.386048,77.0607637,Luxury,2500.0
6616,Independent/Builder Floor,Gurgaon,1,4.0,4,1,1,4.0,7954.0,2200,,17500000.0,2.0,2,4.0,Sector 67,28.486897,77.1915,Luxury,2200.0
6617,Independent/Builder Floor,Gurgaon,1,3.0,4,4,1,4.0,13214.0,1400,,18500000.0,2.0,4,3.0,Sector 67,28.386048,77.0607637,Luxury,1400.0
6618,Independent/Builder Floor,Gurgaon,1,3.0,4,5,1,4.0,13235.0,1700,,22500000.0,2.0,2,3.0,Mayfield Garden,28.42414,77.06148,Luxury,1700.0
6619,Independent/Builder Floor,Gurgaon,1,3.0,4,5,1,4.0,12500.0,1400,,17500000.0,2.0,2,3.0,Sector 57,28.4234414,77.0765927,Luxury,1400.0
6620,Independent/Builder Floor,Gurgaon,1,3.0,4,1,1,4.0,17857.0,1400,,25000000.0,2.0,2,3.0,Sector 73,28.40744,77.014704,Luxury,1400.0
6621,Independent/Builder Floor,Gurgaon,1,4.0,4,5,6,4.0,10689.0,1450,,15500000.0,2.0,2,4.0,Sector 7,28.4632438,77.0132643,Luxury,1450.0
6622,Residential Apartment,Gurgaon,1,3.0,4,3,1,18.0,6916.0,1735,1735.0,12000000.0,4.0,7,3.0,Sector 83,28.3993997,76.9703234,Luxury,1550.0
