,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT
7844,Residential Apartment,Secunderabad,1,2.0,2,3,6,5.0,5000.0,1500.0,1499.95091424,692500000.0,2.0,3,2,Manikonda,17.583578247277302,78.1082316073572,Luxury,1499.95091424
7845,Residential Apartment,Secunderabad,1,2.0,2,4,6,5.0,5007.0,1303.0,1302.97135392,652500000.0,1.0,2,2,Manikonda,17.583578247277302,78.1082316073572,Luxury,1302.97135392
7846,Residential Land,Hyderabad,1,,0,2,0,5.0,17821.0,909.0,909.01223328,1800000.0,,,,Manikonda,17.583578247277302,78.1082316073572,Budget,908.98776672
7847,Residential Apartment,Hyderabad,1,3.0,2,3,1,9.0,7500.0,1528.0,1528.0447203840001,11500000.0,1.0,6,3,Manikonda,17.560525,78.215963,Luxury,1527.9552796159999
7848,Residential Apartment,Hyderabad,1,2.0,2,3,1,9.0,7500.0,1145.0,1144.9571492480002,858800000.0,1.0,5,2,Manikonda,17.560525,78.215963,Luxury,1144.9571492480002
7849,Residential Apartment,Hyderabad,0,3.0,4,3,1,12.0,21.0,1655.0,1654.9512240000001,35000.0,1.0,6,3,Manikonda,17.560525,78.215963,Luxury,1654.9512240000001
7850,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2.0,4600.0,2360.0,2359.9873552,10900000.0,3.0,,,Manikonda,17.560525,78.215963,Luxury,2359.9873552
7851,Independent House/Villa,Hyderabad,1,4.0,4,1,6,4.0,152307.0,585.0,585.01853024,9900000.0,4.0,,,Manikonda,17.560525,78.215963,Luxury,584.98146976
7852,Independent House/Villa,Hyderabad,1,2.0,2,3,6,1.0,67857.0,140.0,140.038474304,9500000.0,3.0,,,Manikonda,17.560525,78.215963,Luxury,139.961525696
7853,Independent House/Villa,Hyderabad,1,2.0,2,3,6,1.0,53846.0,1170.0,1170.03706048,7500000.0,3.0,,,Manikonda,17.560525,78.215963,Luxury,1169.96293952
7854,Residential Land,Hyderabad,1,,0,5,0,3.0,14500.0,1494.0,1494.0307635200002,240700000.0,,,,Manikonda,17.560525,78.215963,Luxury,1493.9692364799998
7855,Residential Apartment,Hyderabad,1,2.0,2,4,1,12.0,8000.0,1155.0,1154.96758592,92400000.0,1.0,8,2,Manikonda,17.492871,78.239079,Luxury,1154.96758592
7856,Residential Apartment,Hyderabad,1,3.0,2,3,1,12.0,7999.0,1676.0,1676.0484883840002,13400000.0,2.0,9,3,Manikonda,17.492871,78.239079,Luxury,1675.9515116159998
7857,Residential Apartment,Hyderabad,1,3.0,2,3,1,12.0,7998.0,1696.0,1695.961722624,13600000.000000002,2.0,8,3,Manikonda,17.492871,78.239079,Luxury,1695.961722624
