,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY
9644,Residential Apartment,Gurgaon,1,4.0,2,4,1,27,8888.0,3150.0,28500000.0,4,15,4,Sector 104,28.47844,76.98611,Luxury
9645,Residential Apartment,Gurgaon,1,4.0,4,3,5,26,10833.0,2400.0,24800000.0,4,15,4,Sector 102,28.479276836122,76.976094508889,Luxury
9646,Residential Apartment,Gurgaon,1,3.0,4,3,1,23,10501.0,2095.0,21700000.0,3,10,3,Sector 109,28.5082791,77.0026143,Luxury
9647,Residential Apartment,Gurgaon,1,3.0,4,2,1,28,12490.0,3763.0,47000000.0,2,1,3,Sector 112,28.518677,77.015115,Luxury
9648,Residential Apartment,Gurgaon,1,4.0,4,3,1,23,9852.0,3045.0,31000000.0,4,1,4,Sector 109,28.514822,76.9969183,Luxury
9649,Residential Apartment,Gurgaon,1,5.0,2,1,2,15,11469.0,3880.0,44500000.0,4,11,5,Sector 110,28.501365,77.010746,Luxury
9650,Residential Apartment,Gurgaon,1,4.0,2,1,2,15,10647.0,3400.0,36200000.0,3,4,4,Sector 110,28.501365,77.010746,Luxury
9651,Residential Apartment,Gurgaon,1,4.0,2,1,5,24,18537.0,2913.0,60000000.0,4,4,4,Sector 108,28.516331087497,76.995685046165,Luxury
9652,Residential Apartment,Gurgaon,1,4.0,0,1,5,24,16339.0,2448.0,44400000.00000001,4,11,4,Sector 108,28.516331087497,76.995685046165,Luxury
9653,Residential Apartment,Gurgaon,1,3.0,2,1,1,24,14478.0,2072.0,36000000.0,3,9,3,Sector 108,28.515618,76.9945061,Luxury
9654,Residential Apartment,Gurgaon,1,4.0,0,5,1,25,12448.0,2691.0,33500000.0,4,13,4,Sector 113,28.532594,77.020297,Luxury
9655,Independent/Builder Floor,Gurgaon,1,3.0,4,5,2,2,66006.0,2727.0,20000000.0,2,2,3,Sector 102,28.474861,76.976292,Luxury
9656,Residential Apartment,Gurgaon,1,3.0,0,1,5,34,14485.0,2002.0,29000000.0,4,9,3,Sector 106,28.509518516781,76.988676053722,Luxury
9658,Residential Apartment,Gurgaon,1,3.0,2,3,2,18,7900.0,2000.0,16200000.000000002,4,9,3,Sector 103,28.499023,76.983105,Luxury
9659,Residential Apartment,Gurgaon,1,3.0,2,3,2,18,7894.0,1900.0,15500000.0,4,12,3,Sector 103,28.499023,76.983105,Luxury
9660,Residential Apartment,Gurgaon,1,3.0,2,3,2,12,7262.0,1790.0,14500000.0,4,8,3,Sector 103,28.499023,76.983105,Luxury
9661,Residential Apartment,Gurgaon,1,2.0,0,3,2,10,7224.0,1481.0,11800000.0,4,9,2,Sector 103,28.499023,76.983105,Luxury
9663,Residential Apartment,Gurgaon,1,3.0,4,3,1,15,9642.0,1755.0,13500000.0,3,9,3,Sector 83,28.39686,76.96909,Luxury
9664,Residential Apartment,Gurgaon,1,3.0,4,5,5,13,5918.0,1950.0,11500000.0,3,3,3,Sector 70,28.393486,77.018605,Luxury
9666,Residential Apartment,Gurgaon,1,6.0,4,3,3,29,16666.0,8040.0,125000000.0,3,20,6,Sector 30,28.460407,77.057905,Luxury
9667,Residential Apartment,Gurgaon,0,2.0,1,1,1,13,22.0,1055.0,24000.0,2,12,2,Sector 37D,28.444091,76.967096,Luxury
9668,Residential Apartment,Gurgaon,1,2.0,4,3,5,4,14257.0,1232.0,17600000.0,3,1,3,Sector 63A,28.39098,77.08761,Luxury
9669,Residential Apartment,Gurgaon,0,3.0,1,5,1,13,25.0,1565.0,30000.0,3,0,3,Sector 37C,28.451194,76.989289,Luxury
9670,Independent/Builder Floor,Gurgaon,0,4.0,1,6,1,4,220.0,4500.0,1100000.0,3,4,4,Sector 47,28.4595,77.02664,Luxury
9671,Residential Apartment,Gurgaon,2,4.0,4,3,1,13,19200.0,2100.0,33600000.0,4,12,4,Sector 66,28.3982709,77.053568,Luxury
9672,Residential Apartment,Gurgaon,1,4.0,4,1,2,30,21207.0,3065.0,65000000.0,3,15,4,Sector 54,28.449548,77.101515,Luxury
9675,Residential Apartment,Gurgaon,0,3.0,4,1,1,17,35.0,1950.0,70000.0,3,3,3,Sector 66,28.4005638,77.0532226,Luxury
9676,Residential Apartment,Gurgaon,1,3.0,4,5,1,13,15837.0,1579.0,17500000.0,2,8,3,Sector 113,28.5346594,77.0197946,Luxury
9677,Residential Apartment,Gurgaon,1,4.0,4,1,2,30,22022.0,3065.0,67500000.0,3,20,4,Sector 54,28.449548,77.101515,Luxury
9678,Residential Apartment,Gurgaon,1,4.0,0,1,1,27,16195.0,3890.0,63000000.0,3,12,4,Sector 62,28.41201,77.09085,Luxury
9679,Residential Apartment,Gurgaon,1,3.0,4,8,6,12,11275.0,1780.0,12500000.0,4,9,2,Sohna,28.266652,77.064904,Luxury
9680,Residential Apartment,Gurgaon,1,2.0,4,3,5,4,12010.0,1232.0,14800000.0,2,1,3,Sector 63A,28.39098,77.08761,Luxury
9681,Residential Apartment,Gurgaon,1,3.0,4,5,5,4,11464.0,1540.0,17700000.0,2,2,3,Sector 63A,28.39098,77.08761,Luxury
