,PROPERTY_TYPE,CITY,LOCALITY,OWNTYPE,BEDROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,PRICE_SQFT,CARPET_SQFT,SUPERBUILTUP_SQFT,AREA,PRICE,BHK,LATITUDE,LONGITUDE,LUXURY
1711,Residential Apartment,Gurgaon,Sector 28,0,3.0,3.0,1,3,3,5,5.0,36.0,1600.0,1800.0,1800,65000.0,3.0,28.475639,77.0823482,Semi-luxury
1712,Independent House/Villa,Gurgaon,Sector 109,0,5.0,4.0,4,5,1,,2.0,14.0,4500.0,,6000,85000.0,5.0,28.5100747,77.0045349,Luxury
1713,Residential Apartment,Gurgaon,DLF Phase 4,1,3.0,3.0,4,5,3,13,20.0,15756.0,1777.0,,1777,28000000.0,3.0,28.465786,77.083806,Semi-luxury
1714,Residential Apartment,Gurgaon,Sector 102,0,4.0,4.0,4,5,1,8,24.0,16.0,2500.0,3198.0,3198,42000.0,4.0,28.4746969,76.9686267,Semi-luxury
1715,Independent House/Villa,Gurgaon,Palam Vihar,1,3.0,2.0,4,2,3,,1.0,179310.0,,,1305,26000000.0,3.0,28.5129305,77.037736,Luxury
1716,Independent House/Villa,Gurgaon,Palam Vihar,1,3.0,2.0,4,4,3,,1.0,144508.0,,,1557,25000000.0,3.0,28.5129305,77.037736,Luxury
1717,Residential Apartment,Gurgaon,Sector 37D,1,4.0,4.0,4,6,1,9,23.0,10750.0,2000.0,2300.0,2300,21500000.0,,28.455542686641,76.9733897433,Semi-luxury
1718,Residential Apartment,Gurgaon,Sector 49,0,3.0,4.0,4,5,3,9,14.0,29.0,1400.0,1859.0,1859,55000.0,3.0,28.4091958,77.0478112,Semi-luxury
1719,Residential Apartment,Gurgaon,Sector 60,1,3.0,4.0,4,5,1,7,39.0,13936.0,1289.0,2045.0,2045,28500000.0,,28.400332,77.097455,Semi-luxury
1720,Residential Apartment,Gurgaon,Sector 54,1,4.0,3.0,0,6,3,9,17.0,25733.0,3100.0,3886.0,3886,100000000.0,4.0,28.44684967862,77.10207066169,Semi-luxury
1721,Residential Apartment,Gurgaon,Sector 113,0,3.0,3.0,4,3,1,18,24.0,21.0,1600.0,2225.0,2225,47000.0,3.0,28.53268,77.018094,Semi-luxury
1722,Independent/Builder Floor,Gurgaon,Sector 23,1,4.0,2.0,4,1,5,1,4.0,13333.0,1800.0,,1800,24000000.0,4.0,28.5117291,77.0550072,Luxury
1723,Residential Apartment,Gurgaon,Sector 102,1,4.0,4.0,2,0,5,20,26.0,11467.0,1600.0,2180.0,2180,25000000.0,4.0,28.4746969,76.9686267,Semi-luxury
1724,Residential Apartment,Gurgaon,Sector 102,1,3.0,4.0,2,5,6,7,26.0,10799.0,1300.0,1852.0,1852,20000000.0,3.0,28.4746969,76.9686267,Semi-luxury
1725,Residential Apartment,Gurgaon,Sector 102,1,2.0,4.0,2,5,6,8,14.0,11522.0,950.0,1215.0,1215,14000000.0,2.0,28.4746969,76.9686267,Semi-luxury
1726,Independent/Builder Floor,Gurgaon,Sector 23,1,3.0,2.0,4,3,6,1,4.0,13284.0,1355.0,,1355,18000000.0,3.0,28.5117291,77.0550072,Luxury
1727,Residential Apartment,Gurgaon,Sector 102,0,3.0,3.0,4,3,1,11,24.0,22.0,1400.0,1889.0,1889,32000.0,3.0,28.4746969,76.9686267,Semi-luxury
1728,Residential Apartment,Gurgaon,Sector 104,0,3.0,4.0,4,5,1,11,17.0,16.0,1400.0,1844.0,1844,30000.0,3.0,28.4830237,77.0002483,Semi-luxury
1729,Residential Apartment,Gurgaon,Sector 102,1,2.0,4.0,2,3,6,11,26.0,11111.0,980.0,1215.0,1215,13500000.0,2.0,28.4789344,76.974626,Semi-luxury
1730,Residential Apartment,Gurgaon,Sector 28,1,5.0,4.0,4,1,3,10,17.0,9482.0,4400.0,5800.0,5800,55000000.0,5.0,28.476487,77.073759,Semi-luxury
1731,Residential Apartment,Gurgaon,Sector 104,0,2.0,4.0,4,3,1,6,17.0,18.0,1000.0,1269.0,1269,23000.0,2.0,28.48379,76.00055,Semi-luxury
1732,Residential Apartment,Gurgaon,Sector 102,1,3.0,3.0,4,3,1,17,24.0,11646.0,1400.0,1889.0,1889,22000000.0,3.0,28.481127,76.973756,Semi-luxury
1733,Residential Apartment,Gurgaon,Sector 102,0,3.0,3.0,1,3,1,17,24.0,21.0,1700.0,2550.0,2550,55000.0,3.0,28.481127,76.973756,Semi-luxury
1734,Residential Apartment,Gurgaon,Sector 110,1,4.0,3.0,4,3,1,10,20.0,10882.0,2500.0,3400.0,3400,37000000.0,4.0,28.501365,77.010746,Semi-luxury
1735,Independent/Builder Floor,Gurgaon,Sector 23,1,4.0,2.0,4,2,6,4,4.0,10888.0,,2250.0,2250,24500000.0,4.0,28.5117291,77.0550072,Luxury
1736,Residential Land,Gurgaon,New Palam Vihar,1,,,0,1,0,,4.0,42000.0,,,129,541800000.0,,28.508394,77.0204624,Semi-luxury
1737,Residential Land,Gurgaon,New Palam Vihar,1,,,0,6,0,,4.0,110000.0,,,2223,27200000.000000004,,28.508394,77.0204624,Semi-luxury
1738,Residential Land,Gurgaon,New Palam Vihar,1,,,0,3,0,,4.0,45000.0,,,900,4500000.0,,28.508394,77.0204624,Semi-luxury
1739,Independent/Builder Floor,Gurgaon,New Palam Vihar,1,2.0,1.0,4,1,6,2,4.0,4000.0,750.0,,750,3000000.0,2.0,28.482859,77.00227,Luxury
1740,Residential Land,Gurgaon,New Palam Vihar,1,,,0,2,0,,4.0,35000.0,,,3600,14000000.0,,28.508394,77.0204624,Semi-luxury
1741,Residential Land,Gurgaon,Block T New Palam Vihar Phase 2,1,,,0,5,0,,4.0,45000.0,,,9000,45000000.0,,28.51615,77.01542,Semi-luxury
1742,Independent/Builder Floor,Gurgaon,"Block D, New Palam Vihar",2,3.0,2.0,4,5,1,2,4.0,4555.0,900.0,,900,4100000.0,3.0,28.510273,77.020294,Luxury
1743,Independent/Builder Floor,Gurgaon,Block D New Palam Vihar Phase 2,1,3.0,2.0,4,4,1,2,4.0,4444.0,900.0,,900,4000000.0,3.0,28.510273,77.020294,Luxury
1744,Independent/Builder Floor,Gurgaon,New Palam Vihar,1,3.0,1.0,4,6,6,1,4.0,3958.0,960.0,,960,3800000.0,3.0,28.510529,77.02032,Luxury
1745,Independent/Builder Floor,Gurgaon,New Palam Vihar,1,2.0,1.0,1,1,6,1,1.0,3998.0,750.0,,750,299900000.0,2.0,28.509832,77.01903,Luxury
1746,Independent/Builder Floor,Gurgaon,New Palam Vihar,1,2.0,1.0,4,6,6,2,4.0,3881.0,760.0,,760,29500000.0,,28.482859,77.00227,Luxury
1747,Residential Land,Gurgaon,Sector 109,1,,,0,1,0,,4.0,38000.0,,,9000,38000000.0,,28.5085746,77.0075055,Semi-luxury
1748,Residential Land,Gurgaon,Sector 110,1,,,0,2,0,,4.0,43750.0,,,160,7000000.0,,28.508126,77.017603,Semi-luxury
1749,Residential Land,Gurgaon,New Palam Vihar,1,,,0,4,0,,4.0,46000.0,,,900,4600000.0,,28.508394,77.0204624,Semi-luxury
1750,Residential Apartment,Gurgaon,Sector 102,0,3.0,3.0,4,5,1,6,14.0,16.0,1300.0,1650.0,1650,26500.0,3.0,28.4746969,76.9686267,Semi-luxury
1751,Independent House/Villa,Gurgaon,Sector 109,0,5.0,3.0,4,5,1,,2.0,17.0,3500.0,,4500,80000.0,5.0,28.513368,76.996723,Luxury
1752,Residential Apartment,Gurgaon,Sector 54,0,4.0,3.0,4,6,3,8,17.0,57.0,3000.0,3886.0,3886,22500000.0,4.0,28.4439713,77.1111214,Semi-luxury
1753,Independent/Builder Floor,Gurgaon,A Block Sushant Lok Phase - 3,1,3.0,2.0,4,4,1,1,4.0,81250.0,2160.000000000216,,2160,19500000.0,3.0,28.423088,77.074104,Luxury
1754,Residential Apartment,Gurgaon,DLF Phase 4,1,3.0,2.0,4,6,3,11,21.0,14631.0,1400.0,1777.0,1777,26000000.0,3.0,28.4659495,77.0866055,Semi-luxury
1755,Residential Apartment,Gurgaon,DLF Phase 4,1,4.0,2.0,4,1,3,10,14.0,14991.0,1200.0,1701.0,1701,25500000.0,,28.465786,77.083806,Semi-luxury
1756,Independent/Builder Floor,Gurgaon,DLF Phase 1,1,3.0,2.0,4,6,1,2,4.0,120000.0,1800.00000000018,,1800,24000000.0,3.0,28.47103,77.1081,Luxury
1757,Independent/Builder Floor,Gurgaon,DLF Phase 1,1,3.0,2.0,4,7,1,1,4.0,117647.0,1836.0000000001835,,1836,24000000.0,,28.47103,77.1081,Luxury
1758,Independent/Builder Floor,Gurgaon,DLF Phase 4,1,3.0,2.0,4,8,1,3,4.0,15681.0,2200.0,,2200,34500000.0,4.0,28.46275,77.085785,Luxury
1759,Independent/Builder Floor,Gurgaon,"sector 47 , sector 51",1,4.0,2.0,4,7,1,2,4.0,14090.0,2200.0,,2200,31000000.0,4.0,28.425726,77.05422,Luxury
1760,Residential Apartment,Gurgaon,Sector 59,0,4.0,2.0,4,6,1,25,30.0,50.0,2739.0,3650.0,3650,18500000.0,4.0,28.4050911,77.1096829,Semi-luxury
1761,Residential Apartment,Gurgaon,DLF Phase 5,1,4.0,3.0,4,2,3,7,18.0,21420.0,2100.0,2801.0,2801,60000000.0,4.0,28.44673,77.09355,Semi-luxury
1762,Residential Land,Gurgaon,New Palam Vihar,1,,,0,3,0,,4.0,79487.0,,,1053,9300000.0,,28.508394,77.0204624,Semi-luxury
1763,Independent/Builder Floor,Gurgaon,New Palam Vihar,1,3.0,2.0,4,5,6,1,4.0,4000.0,950.0,,950,3800000.0,,28.482859,77.00227,Luxury
1764,Residential Apartment,Gurgaon,Sector 110,0,4.0,3.0,4,3,1,8,15.0,13.0,,3400.0,3400,46000.0,,28.501365,77.010746,Semi-luxury
1765,Residential Apartment,Gurgaon,Sector 54,1,4.0,4.0,4,5,2,4,30.0,23844.0,3200.0,4089.0,4089,97500000.0,4.0,28.4439713,77.1111214,Semi-luxury
1766,Residential Apartment,Gurgaon,Sector 54,0,4.0,3.0,1,7,2,7,30.0,68.0,2200.0,2917.0,2917,200000.0,4.0,28.4439713,77.1111214,Semi-luxury
1767,Residential Apartment,Gurgaon,Sector 54,1,4.0,3.0,1,7,2,15,30.0,23997.0,2200.0,2917.0,2917,70000000.0,4.0,28.4439713,77.1111214,Semi-luxury
1768,Residential Apartment,Gurgaon,DLF Phase 5,1,4.0,3.0,4,2,3,8,20.0,19157.0,1950.0,2610.0,2610,50000000.0,4.0,28.44673,77.09355,Semi-luxury
1769,Residential Apartment,Gurgaon,DLF Phase 5,1,4.0,3.0,4,5,3,10,20.0,20306.0,1950.0,2610.0,2610,53000000.0,4.0,28.44673,77.09355,Semi-luxury
1770,Residential Apartment,Gurgaon,DLF Phase 5,0,4.0,3.0,4,1,3,10,20.0,47.0,1950.0,2610.0,2610,12500000.0,4.0,28.4489822,77.0934258,Semi-luxury
1771,Residential Apartment,Gurgaon,Sector 113,1,3.0,3.0,0,7,1,12,25.0,12178.0,,2217.0,2217,29000000.0,3.0,28.534521,77.02023,Semi-luxury
1772,Residential Apartment,Gurgaon,Sector 111,1,3.0,4.0,4,3,1,16,21.0,11590.0,,2200.0,2200,27100000.0,3.0,28.519268,77.027259,Semi-luxury
1773,Residential Apartment,Gurgaon,Sector 111,1,3.0,3.0,4,3,1,7,12.0,13294.0,,1700.0,1700,23800000.0,3.0,28.519268,77.027259,Semi-luxury
1774,Residential Land,Gurgaon,Sector 99A,1,,,0,3,0,,4.0,100000.0,,,1575,17500000.0,,28.456103,76.954222,Semi-luxury
1775,Residential Land,Gurgaon,Sector 99A,1,,,0,0,0,,4.0,100000.0,,,1395,15500000.0,,28.456103,76.954222,Semi-luxury
1776,Residential Land,Gurgaon,Sector 99A,1,,,0,4,0,,4.0,111801.0,,,161,18000000.0,,28.456103,76.954222,Semi-luxury
1777,Residential Apartment,Gurgaon,Sector 109,1,3.0,4.0,4,5,2,10,27.0,8317.0,,2585.0,2585,23500000.0,3.0,28.515309,77.003236,Semi-luxury
1778,Residential Apartment,Gurgaon,Sector 106,1,5.0,4.0,4,3,5,22,35.0,14015.0,,4495.0,4495,70000000.0,5.0,28.5033,76.99743,Semi-luxury
1779,Residential Apartment,Gurgaon,Sector 106,1,5.0,4.0,4,3,5,18,35.0,13797.0,,4095.0,4095,60700000.0,5.0,28.5033,76.99743,Semi-luxury
1780,Independent/Builder Floor,Gurgaon,Sector 49,1,4.0,4.0,4,4,6,1,4.0,13000.0,3000.0,,3000,39000000.0,4.0,28.40874,77.05731,Luxury
1781,Residential Apartment,Gurgaon,Sector 28,1,4.0,4.0,4,6,3,9,17.0,10997.0,3000.0,3410.0,3410,37500000.0,4.0,28.475639,77.0823482,Semi-luxury
1782,Independent/Builder Floor,Gurgaon,Nirvana Country,1,4.0,2.0,4,4,6,4,4.0,125000.0,3240.000000000324,,3240,45000000.0,4.0,28.42049,77.06328,Luxury
1783,Independent/Builder Floor,Gurgaon,Block M South City 1,1,4.0,2.0,4,5,1,2,4.0,110909.0,2475.0000000002474,,2475,30500000.0,4.0,28.4547805628691,77.0595121947571,Luxury
1784,Independent/Builder Floor,Gurgaon,South City 1,1,4.0,2.0,4,5,6,2,4.0,101388.0,3240.000000000324,,3240,36500000.0,4.0,28.460089,77.066245,Luxury
1785,Independent House/Villa,Gurgaon,Pocket I Nirvana Country,1,3.0,4.0,4,3,3,,1.0,305555.0,,,3240,110000000.0,,28.4193440510008,77.0594225407812,Luxury
