index,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
10627,Independent/Builder Floor,Gurgaon,1,3.0,4,3,6,4,89473.0,1710.0,17000000.0,2,1,3,Uppals Southend,28.409324,77.045716,Luxury,0,0,0,0,1,0,1,1,1,1
10628,Independent/Builder Floor,Gurgaon,1,4.0,1,4,6,4,91666.0,2160.0,22000000.0,2,4,4,Sector 63A,28.3974533,77.0990198,Luxury,1,0,1,0,1,1,1,1,1,1
10629,Independent/Builder Floor,Gurgaon,1,4.0,1,5,6,4,90526.0,4275.0,43000000.0,4,3,4,Sector 63A,28.3974533,77.0990198,Luxury,1,0,1,0,1,1,1,1,1,1
10630,Independent/Builder Floor,Gurgaon,1,4.0,1,3,6,4,97058.0,3060.0,33000000.0,3,3,4,Sector 63A,28.3974533,77.0990198,Luxury,1,0,1,0,1,1,1,1,1,1
10631,Independent/Builder Floor,Gurgaon,1,4.0,1,3,6,4,23157.0,1900.0,44000000.0,3,3,4,Sector 63A,28.3974533,77.0990198,Luxury,1,0,1,0,1,1,1,1,1,1
10632,Independent/Builder Floor,Gurgaon,1,3.0,1,3,6,4,18246.0,2236.0,40800000.0,2,3,3,Sector 63A,28.3974533,77.0990198,Luxury,1,0,1,0,1,1,1,1,1,1
10633,Independent/Builder Floor,Gurgaon,1,4.0,4,1,6,4,95029.0,3078.0,32500000.0,3,1,4,Sector 63A,28.3974533,77.0990198,Luxury,1,0,1,0,1,1,1,1,1,1
10635,Residential Apartment,Gurgaon,1,4.0,4,5,1,29,10518.0,3185.0,33500000.0,2,3,4,Sector 81,28.39181,76.949669,Luxury,1,1,1,0,1,1,1,1,1,1
10636,Residential Apartment,Gurgaon,1,4.0,4,5,1,29,8352.0,2215.0,18500000.0,4,24,4,Sector 90,28.406885,76.930127,Luxury,1,1,1,0,1,1,1,1,1,1
10637,Residential Apartment,Gurgaon,1,2.0,4,5,1,21,10472.0,1480.0,15500000.0,3,3,2,Sector 86,28.39332,76.945729,Luxury,1,1,1,0,1,1,1,1,1,1
10638,Residential Apartment,Gurgaon,1,4.0,4,5,1,29,10204.0,3185.0,32500000.0,2,20,4,Sector 81,28.39181,76.949669,Luxury,1,1,1,0,1,1,1,1,1,1
10639,Residential Apartment,Gurgaon,1,4.0,4,1,1,29,8352.0,2215.0,18500000.0,4,16,4,Sector 90,28.406885,76.930127,Luxury,1,1,1,0,0,1,1,1,1,1
10640,Residential Apartment,Gurgaon,1,3.0,4,3,1,27,28481.0,2686.0,76500000.0,3,1,3,Sector 54,28.444951,77.111544,Luxury,1,1,1,0,0,1,1,1,1,0
10641,Residential Apartment,Gurgaon,1,3.0,4,4,1,36,30342.0,2686.0,78500000.0,3,1,3,Sector 54,28.444951,77.111544,Luxury,1,0,1,0,0,1,1,0,1,0
10648,Residential Apartment,Gurgaon,1,3.0,4,0,5,36,15795.0,1665.0,26300000.0,4,28,3,Sector 113,28.522621253811,77.025486549749,Luxury,1,0,1,0,0,1,1,0,0,0
10649,Residential Apartment,Gurgaon,1,3.0,4,5,5,4,12017.0,1672.0,19200000.0,2,1,3,Sector 76,28.393465,76.988789,Luxury,1,0,1,0,0,1,1,0,0,0
10650,Independent/Builder Floor,Gurgaon,1,3.0,4,5,5,4,10300.0,1672.0,17200000.0,2,2,3,Sector 76,28.393465,76.988789,Luxury,1,0,1,0,1,1,1,1,1,1
