,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
7206,Residential Apartment,Hyderabad,1,2.0,2,4,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3500.0,1240.0,1240.0024780800002,43400000.0,1.0,4,2,Manikonda,,,Luxury,1239.9975219199998,1,0,0,0,1,0,1,1,1,1,0
7207,Residential Apartment,Hyderabad,1,2.0,2,4,6,5.0,"44,33,23,45,12,24,17,29,19,1,5,6,20,31",3500.0,1260.0,1260.023351424,44100000.0,1.0,2,2,Manikonda,,,Luxury,1259.976648576,1,0,0,0,1,0,1,0,0,1,0
7208,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3572.0,1215.0,1215.030205952,43400000.0,1.0,4,2,Manikonda,,,Luxury,1214.969794048,1,0,0,0,1,0,1,1,1,1,0
7209,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,17,29,19,1,5,6,20,31",3500.0,1260.0,1260.023351424,44100000.0,1.0,2,2,Manikonda,,,Luxury,1259.976648576,1,0,0,0,1,0,1,0,0,1,0
7210,Residential Apartment,Hyderabad,1,2.0,2,4,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3572.0,1215.0,1215.030205952,43400000.0,1.0,4,2,Manikonda,,,Luxury,1214.969794048,1,0,0,0,1,0,1,1,1,1,0
7211,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3500.0,1240.0,1240.0024780800002,43400000.0,1.0,4,2,Manikonda,,,Luxury,1239.9975219199998,1,0,0,0,1,0,1,1,1,1,0
7212,Residential Apartment,Hyderabad,1,2.0,2,5,6,5.0,"44,33,23,45,12,24,17,29,19,1,5,6,20,31",3500.0,1260.0,1260.023351424,44100000.0,1.0,2,2,Manikonda,,,Luxury,1259.976648576,1,0,0,0,1,0,1,0,0,1,0
7213,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,17,29,19,1,5,6,20,31",3500.0,1260.0,1260.023351424,44100000.0,1.0,2,2,Manikonda,,,Luxury,1259.976648576,1,0,0,0,1,0,1,0,0,1,0
7214,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3572.0,1215.0,1215.030205952,43400000.0,1.0,4,2,Manikonda,,,Luxury,1214.969794048,1,0,0,0,1,0,1,1,1,1,0
7215,Residential Apartment,Hyderabad,1,2.0,2,4,6,5.0,"44,33,23,45,12,24,17,29,19,1,5,6,20,31",3500.0,1260.0,1260.023351424,44100000.0,1.0,2,2,Manikonda,,,Luxury,1259.976648576,1,0,0,0,1,0,1,0,0,1,0
7216,Residential Apartment,Hyderabad,1,2.0,2,4,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3572.0,1215.0,1215.030205952,43400000.0,1.0,4,2,Manikonda,,,Luxury,1214.969794048,1,0,0,0,1,0,1,1,1,1,0
7217,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3500.0,1240.0,1240.0024780800002,43400000.0,1.0,4,2,Manikonda,,,Luxury,1239.9975219199998,1,0,0,0,1,0,1,1,1,1,0
7218,Residential Apartment,Hyderabad,1,2.0,2,4,6,5.0,"44,33,23,45,12,24,46,25,47,26,17,29,19,1,5,6,30,20,31,21",3572.0,1215.0,1215.030205952,43400000.0,1.0,4,2,Manikonda,,,Luxury,1214.969794048,1,0,0,0,1,0,1,1,1,1,0
7219,Residential Apartment,Hyderabad,1,2.0,2,3,6,5.0,"44,33,23,45,12,24,17,29,19,1,5,6,20,31",3500.0,1260.0,1260.023351424,44100000.0,1.0,2,2,Manikonda,,,Luxury,1259.976648576,1,0,0,0,1,0,1,0,0,1,0
7220,Residential Land,Hyderabad,1,,0,3,0,5.0,"23,24,26,5",6500.0,5445.0,5445.031714944001,393300000.0,,,,Manikonda,,,Luxury,5444.968285055999,0,0,0,0,0,0,0,0,0,0,0
7221,Residential Apartment,Hyderabad,0,3.0,4,3,6,32.0,"23,24,5,17,6,19,20,21",31.0,2235.0,2235.018355456,70000.0,1.0,28,3,Manikonda,,,Luxury,2234.981644544,0,0,0,0,1,0,0,1,0,0,0
7222,Residential Apartment,Hyderabad,0,3.0,1,3,1,14.0,"44,23,45,12,24,46,47,25,26,17,29,19,1,3,5,6,9,20,31,21,32,43",30.0,2005.0,2004.9935902080001,62000.0,3.0,1,3,Manikonda,,,Luxury,2004.9935902080001,1,0,1,0,1,1,1,1,1,1,0
7223,Independent House/Villa,Hyderabad,1,4.0,1,3,2,,"44,23,26,5,9,40,41,42,43",312500.0,3456.0,3455.968712128,120000000.0,3.0,,,Manikonda,,,Luxury,3455.968712128,0,0,0,0,0,1,0,0,0,0,0
7224,Residential Apartment,Hyderabad,1,3.0,4,3,5,14.0,"44,23,45,24,46,47,25,26,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",7200.0,1610.0,1609.958078528,11600000.0,1.0,11,3,Manikonda,,,Luxury,1609.958078528,1,0,1,0,1,1,1,1,1,1,1
7225,Independent House/Villa,Hyderabad,1,3.0,2,1,5,2.0,"23,12,1,24,25,3,26,5,6,19,9",5500.0,3613.0,3613.0141648640006,19900000.0,1.0,,,Manikonda,,,Luxury,3612.9858351359994,1,0,1,0,1,1,1,0,1,0,0
7226,Residential Apartment,Hyderabad,1,4.0,2,3,1,35.0,"1,5,9,40,41,42,21,43",250000.0,4070.0,4070.049800448,814000000.0,2.0,24,4,Manikonda,,,Luxury,4069.950199552,1,0,0,0,0,1,0,1,0,0,0
7227,Residential Apartment,Hyderabad,1,2.0,1,3,1,5.0,"5,9,40,41,20,42,21,43",8076.0,1300.0,1299.957459008,10500000.0,1.0,5,2,Manikonda,,,Luxury,1299.957459008,0,0,0,0,0,1,0,1,0,0,0
7228,Residential Land,Secunderabad,1,,0,4,0,,"23,5",11241.0,36027.0,36027.023387008,45000000.0,,,,Manikonda,,,Semi-luxury,36026.976612992,0,0,0,0,0,0,0,0,0,0,0
7229,Residential Apartment,Hyderabad,1,2.0,2,4,2,12.0,"23,9,40,41,42,21,43",9221.0,1220.0,1219.981604736,9000000.0,1.0,9,2,Manikonda,,,Luxury,1219.981604736,0,0,0,0,0,1,0,1,0,0,0
7230,Independent House/Villa,Hyderabad,1,2.0,2,5,5,1.0,"24,47,26,5,6,19",1248.0,2403.0,2403.0429968,3000000.0,1.0,,,Manikonda,,,Luxury,2402.9570032,0,0,0,0,1,0,0,0,0,0,0
7231,Residential Apartment,Secunderabad,1,3.0,2,3,6,5.0,"44,23,25,26,5,9,40,41,20,42,21,43",6250.0,1690.0,1690.041571904,84500000.0,2.0,1,3,Manikonda,,,Luxury,1689.958428096,0,0,0,0,0,1,0,1,1,0,0
7232,Residential Apartment,Secunderabad,1,2.0,2,3,1,4.0,"44,1,3,5,8,9,40,41,42,21,43",5000.0,1220.0,1219.981604736,6100000.0,1.0,2,2,Manikonda,,,Luxury,1219.981604736,1,0,1,0,0,1,0,1,0,0,0
7233,Residential Apartment,Hyderabad,0,3.0,4,3,2,5.0,"23,46,9,30",23.0,1500.0,1499.95091424,35000.0,2.0,3,3,Manikonda,,,Luxury,1499.95091424,0,0,0,0,0,1,0,0,0,0,0
7234,Residential Apartment,Hyderabad,0,3.0,4,3,6,30.0,"23,24,5,17,6,19,20,21",37.0,1860.0,1860.0037171200001,70000.0,1.0,27,3,Manikonda,,,Luxury,1859.9962828799999,0,0,0,0,1,0,0,1,0,0,0
7235,Residential Apartment,Hyderabad,1,3.0,1,3,2,1.0,"26,5,9,40,41,42,21,43",10465.0,2150.0,2149.983463296,22500000.0,2.0,1,3,Manikonda,,,Luxury,2149.983463296,0,0,0,0,0,1,0,1,0,0,0
7236,Residential Apartment,Hyderabad,1,3.0,1,3,1,1.0,"5,9,40,41,42,21,43",12162.0,1850.0,1849.9932804480002,22500000.0,2.0,1,3,Manikonda,,,Luxury,1849.9932804480002,0,0,0,0,0,1,0,1,0,0,0
7237,Residential Apartment,Hyderabad,1,4.0,0,4,2,7.0,"23,5,6,9,40,41,42,21,43",11458.0,3600.0,3599.98983328,33000000.0,4.0,3,4,Manikonda,,,Luxury,3599.98983328,0,0,0,0,1,1,0,1,0,0,0
7238,Independent House/Villa,Hyderabad,4,4.0,4,4,5,3.0,"44,45,12,24,25,47,26,19,1,3,5,6,30",73750.0,160.0,159.95170854399998,11800000.0,1.0,,,Manikonda,,,Luxury,159.95170854399998,1,0,1,0,1,0,1,0,1,0,0
7239,Independent House/Villa,Hyderabad,1,2.0,4,3,5,0.0,"23,3,6",5523.0,850.0,850.026004288,469500000.0,2.0,,,Manikonda,,,Luxury,849.973995712,0,0,1,0,1,0,0,0,0,0,0
7240,Independent House/Villa,Secunderabad,1,3.0,4,8,6,0.0,"44,23,45,12,24,25,47,26,17,19,1,3,6,8,40,42,10",5115.0,2160.0,2159.993899968,11100000.000000002,1.0,,,Manikonda,,,Luxury,2159.993899968,1,0,1,0,1,0,1,0,1,0,0
7241,Residential Apartment,Hyderabad,0,2.0,2,3,1,5.0,"24,5,17,21",16.0,1000.0,999.9672761600001,16000.0,1.0,3,2,Manikonda,,,Luxury,999.9672761600001,0,0,0,0,0,0,0,1,0,0,0
7242,Independent House/Villa,Secunderabad,1,3.0,4,3,5,0.0,"44,23,45,12,24,25,47,26,39,28,19,3,6,40,41,30,42",4712.0,1530.0,1529.9822242559999,72100000.0,1.0,,,Manikonda,,,Luxury,1529.9822242559999,0,0,1,0,1,0,1,0,1,0,1
7243,Residential Land,Hyderabad,1,,0,5,0,3.0,"23,24,26,5",7999.0,1080.0,1080.050769536,9600000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7244,Residential Land,Hyderabad,1,,0,5,0,3.0,"23,24,26,5",15999.0,1350.0,1350.009642368,2400000.0,,,,Manikonda,,,Luxury,1349.990357632,0,0,0,0,0,0,0,0,0,0,0
7245,Residential Land,Secunderabad,1,,0,5,0,3.0,"23,24,26,5",16001.0,1350.0,1350.009642368,2400000.0,,,,Manikonda,,,Luxury,1349.990357632,0,0,0,0,0,0,0,0,0,0,0
7246,Independent House/Villa,Secunderabad,1,2.0,4,3,5,1.0,"44,23,45,12,47,26,19,1,3,5,6,8,30",5695.0,1150.0,1150.016187136,65500000.0,1.0,,,Manikonda,,,Luxury,1149.983812864,1,0,1,0,1,0,1,0,0,0,0
7247,Residential Land,Hyderabad,1,,0,5,0,3.0,"23,24,26,5",15998.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7248,Residential Land,Secunderabad,1,,0,5,0,3.0,"23,24,26,5",15998.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7249,Independent House/Villa,Secunderabad,1,2.0,4,3,6,1.0,"23,45,24,25,47,26,17,19,5,6,8,40,41,42",6000.0,1098.0,1098.026499904,4800000.0,1.0,,,Manikonda,,,Luxury,1097.973500096,0,0,0,0,1,0,0,0,1,0,0
7250,Residential Land,Hyderabad,1,,0,5,0,3.0,"23,24,26,5",7999.0,1080.0,1080.050769536,9600000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7251,Residential Land,Hyderabad,1,,0,5,0,3.0,"23,24,26,5",8000.0,1080.0,1080.050769536,9600000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7252,Residential Land,Hyderabad,1,,0,5,0,3.0,"23,24,26,5",7999.0,1080.0,1080.050769536,9600000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7253,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26,5",7999.0,1350.0,1350.009642368,1200000.0,,,,Manikonda,,,Luxury,1349.990357632,0,0,0,0,0,0,0,0,0,0,0
7254,Independent House/Villa,Secunderabad,1,2.0,4,4,6,1.0,"44,23,24,25,26,6,8,9",4627.0,1800.0,1800.048736192,83300000.0,1.0,,,Manikonda,,,Luxury,1799.951263808,0,0,0,0,1,1,0,0,1,0,0
7255,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26,5",16000.0,1350.0,1350.009642368,2400000.0,,,,Manikonda,,,Luxury,1349.990357632,0,0,0,0,0,0,0,0,0,0,0
7256,Residential Land,Hyderabad,1,,0,3,0,4.0,"23,24,26,5",16000.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7257,Residential Land,Secunderabad,1,,0,3,0,5.0,"23,24,26,5",16000.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7258,Residential Land,Secunderabad,1,,0,4,0,3.0,"23,24,26,5",16000.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7259,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,24,26,5",15999.0,1503.0,1502.964809152,267200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7260,Residential Land,Secunderabad,1,,0,4,0,2.0,"23,24,26",4444.0,1080.0,1080.050769536,4800000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7261,Independent House/Villa,Hyderabad,4,2.0,4,4,5,0.0,"44,23,45,12,24,47,26,19,1,3,5,6,8,30",58000.0,100.0,99.99672761599999,5800000.0,1.0,,,Manikonda,,,Luxury,99.99672761599999,1,0,1,0,1,0,1,0,0,0,0
7262,Residential Land,Hyderabad,1,,0,2,0,3.0,"24,26,5",58333.0,648.0,647.98740608,4200000.0,,,,Manikonda,,,Luxury,647.98740608,0,0,0,0,0,0,0,0,0,0,0
7263,Residential Land,Secunderabad,3,,0,2,0,3.0,"24,26,5",14999.0,2399.0,2398.952710848,4000000.0,,,,Manikonda,,,Luxury,2398.952710848,0,0,0,0,0,0,0,0,0,0,0
7264,Residential Apartment,Hyderabad,0,3.0,4,4,6,14.0,"44,33,23,45,12,24,25,47,26,17,19,1,3,5,6,9,40,41,20,42,31,21,32",20.0,1717.0,1716.951347904,36000.0,2.0,1,3,Manikonda,,,Luxury,1716.951347904,1,0,1,0,1,1,1,1,1,0,0
7265,Residential Land,Hyderabad,1,,0,3,0,2.0,"23,5",30000.0,1800.0,1800.048736192,6000000.0,,,,Manikonda,,,Semi-luxury,1799.951263808,0,0,0,0,0,0,0,0,0,0,0
7266,Independent House/Villa,Hyderabad,1,4.0,2,3,5,2.0,"23,1,3,47,5,19,40,41",10240.0,1485.0,1484.9890787840002,15200000.0,2.0,,,Manikonda,,,Luxury,1484.9890787840002,1,0,1,0,0,0,0,0,0,0,0
7267,Residential Apartment,Hyderabad,1,3.0,4,4,1,31.0,"23,24,17,6,19,20,21",11723.0,1834.0,1833.955053952,21500000.0,1.0,16,3,Manikonda,,,Luxury,1833.955053952,0,0,0,0,1,0,0,1,0,0,0
7268,Residential Apartment,Hyderabad,0,3.0,4,3,1,30.0,"23,24,5,17,6,19,20,21",36.0,2125.0,2125.011191168,76500.0,1.0,18,3,Manikonda,,,Luxury,2124.988808832,0,0,0,0,1,0,0,1,0,0,0
7269,Residential Apartment,Hyderabad,0,2.0,4,3,1,26.0,"44,23,45,24,46,47,25,26,28,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",35.0,1275.0,1274.9851868800001,45000.0,1.0,19,2,Manikonda,,,Luxury,1274.9851868800001,1,0,1,0,1,1,1,1,1,1,1
7270,Residential Apartment,Hyderabad,1,3.0,4,3,1,31.0,"23,24,17,6,19,20,21",13235.0,1700.0,1700.052008576,22500000.0,1.0,23,3,Manikonda,,,Luxury,1699.947991424,0,0,0,0,1,0,0,1,0,0,0
7271,Residential Land,Hyderabad,1,,0,3,0,5.0,"23,24,26,5",10000.0,1350.0,1350.009642368,1500000.0,,,,Manikonda,,,Luxury,1349.990357632,0,0,0,0,0,0,0,0,0,0,0
7272,Residential Land,Hyderabad,1,,0,3,0,5.0,"23,24,26,5",10000.0,1800.0,1800.048736192,2000000.0,,,,Manikonda,,,Luxury,1799.951263808,0,0,0,0,0,0,0,0,0,0,0
7273,Residential Apartment,Hyderabad,1,3.0,1,3,2,30.0,"23,24,5,17,6,19,20,21",9100.0,2018.0,2018.017921792,18400000.0,1.0,28,3,Manikonda,,,Luxury,2017.982078208,0,0,0,0,1,0,0,1,0,0,0
7274,Residential Apartment,Hyderabad,1,3.0,2,3,1,19.0,"23,24,5,17,6,19,20,21",11990.0,2210.0,2210.046083328,26500000.0,2.0,14,3,Manikonda,,,Luxury,2209.953916672,0,0,0,0,1,0,0,1,0,0,0
7275,Residential Apartment,Hyderabad,1,3.0,2,3,1,19.0,"23,24,5,17,6,19,20,21",11984.0,2645.0,2645.015702592,31700000.0,2.0,17,3,Manikonda,,,Luxury,2644.984297408,0,0,0,0,1,0,0,1,0,0,0
7276,Residential Apartment,Hyderabad,1,4.0,2,3,1,19.0,"23,24,5,17,6,19,20,21",12576.0,4095.0,4095.022072576,51500000.0,2.0,3,4,Manikonda,,,Luxury,4094.977927424,0,0,0,0,1,0,0,1,0,0,0
7277,Residential Apartment,Hyderabad,1,3.0,2,4,1,19.0,"23,24,5,17,6,19,20,21",11963.0,2215.0,2214.997482112,26500000.0,2.0,11,3,Manikonda,,,Luxury,2214.997482112,0,0,0,0,1,0,0,1,0,0,0
7278,Residential Land,Hyderabad,1,,0,3,0,5.0,"23,24,26,5",20000.0,2250.0,2249.980190912,5000000.0,,,,Manikonda,,,Luxury,2249.980190912,0,0,0,0,0,0,0,0,0,0,0
7279,Residential Apartment,Hyderabad,0,3.0,4,5,1,20.0,"23,24,5,17,6,19,20,21",28.0,1730.0,1729.975679488,50000.0,1.0,18,3,Manikonda,,,Luxury,1729.975679488,0,0,0,0,1,0,0,1,0,0,0
7280,Residential Apartment,Hyderabad,0,2.0,4,3,1,20.0,"23,24,5,17,6,19,20,21",31.0,1320.0,1319.978332352,42000.0,1.0,12,2,Manikonda,,,Luxury,1319.978332352,0,0,0,0,1,0,0,1,0,0,0
7281,Residential Apartment,Hyderabad,0,3.0,4,3,1,17.0,"23,24,5,17,6,19,20,21",27.0,1835.0,1835.031444992,50000.0,1.0,8,3,Manikonda,,,Luxury,1834.968555008,0,0,0,0,1,0,0,1,0,0,0
7282,Independent House/Villa,Hyderabad,1,4.0,2,3,5,3.0,"23,24,25,26,5,6,19,8",5700.0,2700.0,2700.019284736,15000000.0,2.0,,,Manikonda,,,Luxury,2699.980715264,0,0,0,0,1,0,0,0,1,0,0
7283,Residential Land,Hyderabad,1,,0,3,0,15.0,"23,24,26,5",7500.0,1080.0,1080.050769536,900000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7284,Residential Land,Hyderabad,1,,0,3,0,15.0,"23,24,26,5",7499.0,1080.0,1080.050769536,900000.0,,,,Manikonda,,,Luxury,1079.949230464,0,0,0,0,0,0,0,0,0,0,0
7285,Residential Apartment,Hyderabad,1,3.0,2,4,5,34.0,"44,23,45,24,46,47,25,26,28,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",10072.0,1390.0,1390.0513890559998,14000000.0,1.0,13,3,Manikonda,,,Luxury,1389.9486109440002,1,0,1,0,1,1,1,1,1,1,1
7286,Residential Apartment,Hyderabad,1,3.0,2,3,1,10.0,"23,24,5,17,6,20,21",10171.0,2045.0,2045.0353368960002,20800000.0,1.0,4,3,Manikonda,,,Luxury,2044.9646631039998,0,0,0,0,1,0,0,1,0,0,0
7287,Residential Apartment,Hyderabad,1,4.0,2,4,1,10.0,"23,24,5,17,6,20,21",9967.0,3050.0,3049.9540118400005,30400000.0,2.0,10,4,Manikonda,,,Luxury,3049.9540118400005,0,0,0,0,1,0,0,1,0,0,0
7288,Residential Apartment,Hyderabad,1,3.0,2,3,1,10.0,"23,24,5,17,6,20,21",10198.0,1870.0,1870.014153792,19100000.0,1.0,7,3,Manikonda,,,Luxury,1869.985846208,0,0,0,0,1,0,0,1,0,0,0
7289,Residential Apartment,Hyderabad,1,3.0,2,3,5,34.0,"23,45,24,46,47,25,26,28,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",9760.0,2049.0,2049.017983744,20000000.0,1.0,7,3,Manikonda,,,Luxury,2048.982016256,1,0,1,0,1,1,1,1,1,1,1
7290,Residential Apartment,Hyderabad,1,3.0,4,4,1,10.0,"23,24,5,6,19,20,21",10043.0,2290.0,2290.0219376,23000000.0,2.0,2,3,Manikonda,,,Luxury,2289.9780624,0,0,0,0,1,0,0,1,0,0,0
7291,Residential Apartment,Hyderabad,1,3.0,2,3,1,10.0,"23,24,5,17,6,19,20,21",10000.0,2300.0,2300.032374272,23000000.0,2.0,10,3,Manikonda,,,Luxury,2299.967625728,0,0,0,0,1,0,0,1,0,0,0
7292,Residential Land,Hyderabad,1,,0,3,0,3.0,"23,26,5",26000.0,1503.0,1502.964809152,434200000.0,,,,Manikonda,,,Luxury,1502.964809152,0,0,0,0,0,0,0,0,0,0,0
7293,Residential Land,Hyderabad,1,,0,3,0,3.0,"24,26,5",10994.0,1566.0,1566.0413240960002,191300000.0,,,,Manikonda,,,Luxury,1565.9586759039998,0,0,0,0,0,0,0,0,0,0,0
7294,Independent House/Villa,Hyderabad,1,4.0,2,3,5,3.0,"23,24,25,26,5,6,19,8",10193.0,1501.0,1501.0273052799998,15300000.0,3.0,,,Manikonda,,,Luxury,1500.9726947200002,0,0,0,0,1,0,0,0,1,0,0
7295,Residential Apartment,Hyderabad,0,2.0,4,3,1,35.0,"44,23,45,24,46,47,25,26,28,29,30,31,10,32,33,12,17,39,19,1,3,5,6,8,9,40,41,20,42,21,43",40.0,1283.0,1282.950480576,52000.0,1.0,20,2,Manikonda,,,Luxury,1282.950480576,1,0,1,0,1,1,1,1,1,1,1
7296,Residential Apartment,Hyderabad,0,2.0,4,3,2,5.0,"33,23,12,24,47,25,26,17,29,19,1,3,5,6,9,40,30,41,20,31,42,21,32,43",23.0,1280.0,1280.044224768,30000.0,1.0,2,2,Manikonda,,,Luxury,1279.955775232,1,0,1,0,1,1,1,1,1,1,0
7297,Residential Apartment,Hyderabad,1,3.0,2,3,1,10.0,"23,24,5,17,6,19,20,21",9429.0,2280.0,2280.011500928,21500000.0,1.0,9,3,Manikonda,,,Luxury,2279.988499072,0,0,0,0,1,0,0,1,0,0,0
7298,Residential Apartment,Hyderabad,1,3.0,4,4,2,14.0,"23,19,21",7300.0,2671.0,2670.956726656,19500000.0,3.0,12,3,Manikonda,,,Luxury,2670.956726656,0,0,0,0,0,0,0,1,0,0,0
7299,Residential Land,Hyderabad,1,,0,3,0,2.0,5,74000.0,1800.0,1800.048736192,14800000.0,,,,Manikonda,,,Budget,1799.951263808,0,0,0,0,0,0,0,0,0,0,0
7300,Residential Apartment,Hyderabad,0,3.0,4,4,6,35.0,"33,23,12,24,25,47,26,17,29,19,1,3,5,6,9,40,30,41,20,42,31,21,32",26.0,2340.0,2339.966481856,62000.0,2.0,20,3,Manikonda,,,Luxury,2339.966481856,1,0,1,0,1,1,1,1,1,1,0
7301,Independent House/Villa,Hyderabad,2,3.0,2,3,1,3.0,"44,23,45,12,24,46,25,26,28,19,1,3,5,6,8,9,30,43",10066.0,1500.0,1499.95091424,15100000.0,3.0,,,Manikonda,,,Luxury,1499.95091424,1,0,1,0,1,1,1,0,1,0,0
7302,Independent House/Villa,Hyderabad,1,4.0,2,3,5,3.0,"23,24,25,26,5,6,19,8",5500.0,2700.0,2700.019284736,15000000.0,2.0,,,Manikonda,,,Luxury,2699.980715264,0,0,0,0,1,0,0,0,1,0,0
7303,Independent House/Villa,Hyderabad,1,3.0,2,3,6,2.0,"44,23,12,1,24,25,47,3,26,5,19,9",9444.0,2700.0,2700.019284736,25500000.0,1.0,,,Manikonda,,,Luxury,2699.980715264,1,0,1,0,0,1,1,0,1,0,0
7304,Residential Apartment,Hyderabad,1,3.0,1,3,1,14.0,"23,24,5,17,6,19,20,21",8448.0,2959.0,2958.9989689599997,25000000.0,2.0,9,3,Manikonda,,,Luxury,2958.9989689599997,0,0,0,0,1,0,0,1,0,0,0
7305,Residential Apartment,Hyderabad,0,3.0,4,3,1,14.0,"23,24,17,21",19.0,2659.0,2659.008786112,52000.0,3.0,7,3,Manikonda,,,Luxury,2658.991213888,0,0,0,0,0,0,0,1,0,0,0
7306,Residential Apartment,Hyderabad,1,3.0,1,3,1,10.0,"23,24,5,17,6,20,21",11212.0,2185.0,2184.9661720960003,24500000.0,1.0,3,3,Manikonda,,,Luxury,2184.9661720960003,0,0,0,0,1,0,0,1,0,0,0
7307,Residential Apartment,Hyderabad,1,3.0,4,4,1,10.0,"6,20,21",10297.0,2185.0,2184.9661720960003,22500000.0,1.0,2,3,Manikonda,,,Luxury,2184.9661720960003,0,0,0,0,1,0,0,1,0,0,0
7308,Residential Apartment,Hyderabad,1,3.0,2,4,1,10.0,"23,24,5,17,6,19,20,21",10160.0,1870.0,1870.014153792,19000000.0,1.0,7,3,Manikonda,,,Luxury,1869.985846208,0,0,0,0,1,0,0,1,0,0,0
7309,Residential Apartment,Hyderabad,1,3.0,2,3,1,10.0,"23,24,5,17,6,19,20,21",10217.0,2300.0,2300.032374272,23500000.0,1.0,10,3,Manikonda,,,Luxury,2299.967625728,0,0,0,0,1,0,0,1,0,0,0
7310,Independent House/Villa,Hyderabad,1,3.0,2,3,6,1.0,"12,1,25,3,26,6,8",9230.0,2600.0,2600.0225571200003,22000000.0,1.0,,,Manikonda,,,Luxury,2599.9774428799997,1,0,1,0,1,0,1,0,1,0,0
7311,Residential Apartment,Hyderabad,1,3.0,4,1,1,8.0,"23,24,17,6,19,20,21",10000.0,1650.0,1649.9998252159999,16500000.0,2.0,2,3,Manikonda,,,Luxury,1649.9998252159999,0,0,0,0,1,0,0,1,0,0,0
7312,Residential Apartment,Hyderabad,0,2.0,4,3,1,15.0,"23,24,5,17,6,19,20,21",34.0,1297.0,1297.0512032000001,45002.0,1.0,8,2,Manikonda,,,Luxury,1296.9487967999999,0,0,0,0,1,0,0,1,0,0,0
7313,Residential Apartment,Hyderabad,1,3.0,2,3,1,30.0,"23,24,5,17,6,19,20,21",11192.0,2055.0,2055.0457735679997,23000000.0,1.0,3,3,Manikonda,,,Luxury,2054.9542264320003,0,0,0,0,1,0,0,1,0,0,0
7314,Independent House/Villa,Hyderabad,1,4.0,2,3,5,3.0,"23,24,25,26,5,6,19,8",5588.0,3400.0,3399.996378048,19000000.0,2.0,,,Manikonda,,,Luxury,3399.996378048,0,0,0,0,1,0,0,0,1,0,0
