,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PRICE_SQFT,AREA,SUPERBUILTUP_SQFT,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY,CARPET_SQFT,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,PARKING,PARKING,ATM,GYM,LIFT,WASTE_DISPOSAL,GAS_PIPELINE,NEAR_BANK
51,Independent House/Villa,Secunderabad,1,3.0,2,5,3,1.0,"24,46,3,5,19,8,9,40,41,42",117269.0,11205.0,11205.015448192,139000000.0,4.0,,,Manikonda,17.459103,78.541334,Luxury,11204.984551808,0,0,1,0,0,1,0,0,0,0,0
52,Residential Apartment,Hyderabad,1,3.0,4,4,6,5.0,"44,33,23,45,12,24,47,25,26,17,19,1,3,5,6,9,40,30,20,42,31,21,43",8196.0,1525.0,1525.030825472,12500000.0,2.0,2,3,Manikonda,17.448846,78.38744,Luxury,1524.969174528,1,0,1,0,1,1,1,1,1,0,0
53,Residential Apartment,Hyderabad,1,3.0,2,4,6,11.0,"23,1,24,3,5,17,6,19,20,21",10500.0,2249.0,2249.011438976,23500000.0,2.0,9,3,Manikonda,17.19515,78.65624,Luxury,2248.988561024,1,0,1,0,1,0,0,1,0,0,0
54,Independent House/Villa,Hyderabad,1,4.0,2,4,5,3.0,"23,12,24,46,25,47,26,19,1,3,5,6,8,9,40,41,30,10,43",13513.0,4255.0,4254.97378112,57500000.0,3.0,,,Manikonda,17.5468498,78.3650231,Luxury,4254.97378112,1,0,1,0,1,1,1,0,1,0,0
55,Independent House/Villa,Hyderabad,1,4.0,4,3,3,2.0,"40,41,42",344036.0,3924.0,3923.9835363200004,150000000.0,1.0,,,Manikonda,17.43125,78.53602,Budget,3923.9835363200004,0,0,0,0,0,0,0,0,0,0,0
56,Residential Apartment,Hyderabad,1,3.0,0,4,3,5.0,"23,45,5,6,39,40,30,41,42,21",5504.0,1526.0,1525.999577408,8400000.0,3.0,G,3,Manikonda,17.40223,78.3444,Luxury,1525.999577408,0,0,0,0,1,0,0,1,0,0,1
57,Residential Land,Hyderabad,1,,0,4,0,2.0,"23,24,26",15209.0,2367.0,2366.98389696,4300000.0,,,,Manikonda,17.529701,78.333031,Luxury,2366.98389696,0,0,0,0,0,0,0,0,0,0,0
58,Residential Apartment,Secunderabad,1,4.0,4,0,2,2.0,"44,23,45,24,25,47,26,29,30,31,12,17,39,19,1,3,5,6,9,40,41,20,42,21,43",7500.0,2564.0,2563.96345728,18000000.0,3.0,1,4,Manikonda,17.443354,78.182044,Luxury,2563.96345728,1,0,1,0,1,1,1,1,1,1,1
59,Independent House/Villa,Hyderabad,1,4.0,1,3,1,2.0,"45,24,46,47,26,29,19,5,40,30,41,42,32",9130.0,1620.0,1619.9685152,21000000.0,1.0,,,Manikonda,17.44007494380667,78.64775831900772,Luxury,1619.9685152,0,0,0,0,0,0,0,0,0,1,0
60,Residential Apartment,Secunderabad,1,3.0,2,3,5,5.0,"23,45,24,5,6,17,19,8,40,41,21",5882.0,1530.0,1529.9822242559999,9500000.0,2.0,3,3,Manikonda,17.534325,78.331096,Luxury,1529.9822242559999,0,0,0,0,1,0,0,1,0,0,0
61,Residential Apartment,Hyderabad,1,3.0,1,3,1,5.0,"23,45,24,25,26,17,6,19,9,31,21",7712.0,1945.0,1945.03860928,15000000.0,2.0,3,3,Manikonda,17.245672081157764,78.37147863892494,Luxury,1944.96139072,0,0,0,0,1,1,0,1,1,0,0
62,Residential Apartment,Secunderabad,1,3.0,4,0,3,5.0,21,4193.0,1550.0,1550.0030976,6500000.0,2.0,3,3,Manikonda,17.453725,78.290418,Budget,1549.9969024,0,0,0,0,0,0,0,1,0,0,0
63,Residential Apartment,Hyderabad,1,3.0,4,4,2,18.0,"33,23,12,26,17,29,19,1,3,5,6,9,30,20,21,32",11500.0,2705.0,2704.9706835200004,31100000.0,1.0,13,3,Manikonda,17.533096,78.477854,Luxury,2704.9706835200004,1,0,1,0,1,1,1,1,0,1,0
64,Independent House/Villa,Secunderabad,1,4.0,4,0,2,2.0,"24,5,17,19,40,41,42",6000.0,3000.0,3000.009467584,17000000.0,2.0,,,Manikonda,17.484046,78.358808,Luxury,2999.990532416,0,0,0,0,0,0,0,0,0,0,0
65,Independent House/Villa,Hyderabad,1,3.0,2,4,6,2.0,"23,12,1,24,25,3,26,5,6,8,40,41",126666.0,2700.0,2700.019284736,38000000.0,3.0,,,Manikonda,17.4664197,78.285342,Luxury,2699.980715264,1,0,1,0,1,0,1,0,1,0,0
66,Residential Apartment,Hyderabad,1,3.0,0,4,6,6.0,"23,24,5,17,6,19,40,30,41,20,42,21",6348.0,1520.0,1519.9717875840001,96500000.0,2.0,5,3,Manikonda,17.233562897673416,78.54189608906688,Luxury,1519.9717875840001,0,0,0,0,1,0,0,1,0,0,0
67,Residential Apartment,Secunderabad,1,3.0,2,3,6,9.0,"33,23,12,24,47,25,26,17,29,19,1,3,5,6,9,20,21,43",8186.0,1820.0,1819.9619704320003,14900000.0,1.0,3,3,Manikonda,17.518915,78.301535,Luxury,1819.9619704320003,1,0,1,0,1,1,1,1,1,1,0
68,Residential Apartment,Secunderabad,1,2.0,4,3,2,5.0,"23,12,24,47,26,17,1,3,6,9,30,20,21",5288.0,1040.0,1040.009022848,4800000.0,1.0,1,2,Manikonda,17.399482,78.34253,Luxury,1039.990977152,1,0,1,0,1,1,1,1,0,0,0
69,Residential Apartment,Hyderabad,1,3.0,4,4,2,14.0,"44,21",9000.0,1920.0,1919.958698048,16500000.0,2.0,12,3,Manikonda,17.450024,78.361293,Budget,1919.958698048,0,0,0,0,0,0,0,1,0,0,0
70,Independent House/Villa,Hyderabad,1,5.0,2,5,3,2.0,24,8632.0,1506.0,1505.978704064,12500000.0,2.0,,,Manikonda,17.327119,78.589535,Semi-luxury,1505.978704064,0,0,0,0,0,0,0,0,0,0,0
71,Residential Apartment,Hyderabad,1,3.0,1,4,1,12.0,"33,23,45,12,24,25,47,26,17,29,19,1,3,5,6,9,40,30,41,20,42,21,32,43",10202.0,1725.0,1725.024280704,17600000.0,1.0,G,3,Manikonda,17.25839,78.68112,Luxury,1724.975719296,1,0,1,0,1,1,1,1,1,1,0
72,Residential Apartment,Hyderabad,0,1.0,2,4,1,5.0,21,18.0,800.0,799.9738209279999,14500.0,1.0,3,1,Manikonda,17.382054,78.488296,Budget,799.9738209279999,0,0,0,0,0,0,0,1,0,0,0
73,Residential Apartment,Hyderabad,1,3.0,1,0,3,4.0,21,11363.0,1500.0,1499.95091424,12500000.0,1.0,G,3,Manikonda,17.4268897,78.4048405,Budget,1499.95091424,0,0,0,0,0,0,0,1,0,0,0
74,Residential Apartment,Hyderabad,0,3.0,4,5,1,20.0,"23,24,5,17,6,19,20,21",24.0,1663.0,1663.0241568000001,40000.0,1.0,1,3,Manikonda,17.505811,78.539781,Luxury,1662.9758431999999,0,0,0,0,1,0,0,1,0,0,0
75,Residential Apartment,Hyderabad,1,2.0,4,3,2,5.0,"23,24,26,5,6,19,20,21",6016.0,1230.0,1229.992041408,7400000.0,2.0,4,2,Manikonda,17.3915153,78.4972145,Luxury,1229.992041408,0,0,0,0,1,0,0,1,0,0,0
76,Independent House/Villa,Hyderabad,1,2.0,4,2,3,2.0,"24,5,40",100719.0,1251.0,1250.9816666880001,14000000.0,2.0,,,Manikonda,17.435166,78.374179,Semi-luxury,1250.9816666880001,0,0,0,0,0,0,0,0,0,0,0
77,Residential Apartment,Hyderabad,1,2.0,2,3,5,5.0,"23,24,5,17,6,19,20,21",6200.0,1145.0,1144.9571492480002,7100000.0,2.0,3,2,Manikonda,17.437953,78.283138,Luxury,1144.9571492480002,0,0,0,0,1,0,0,1,0,0,0
78,Residential Land,Hyderabad,1,,0,4,0,4.0,5,27500.0,3600.0,3599.98983328,11000000.0,,,,Manikonda,17.403674,78.323611,Budget,3599.98983328,0,0,0,0,0,0,0,0,0,0,0
