PROPERTY_TYPE,OWNTYPE,BEDROOM_NUM,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,BALCONY_NUM,FLOOR_NUM,BHK,LATITUDE,LONGITUDE,LUXURY,SWIMMING_POOL,POWER_BACKUP,CLUB_HOUSE,ATM,GYM,WASTE_DISPOSAL,GAS_PIPELINE,PRICE
0.0,1,4.0,1,6,2,89506.0,1458.0,2,2,4,17.411744,78.341175,0.0,0,0,0,0,0,0,0,13500000.0
2.0,1,2.0,4,6,5,5420.0,1107.0,1,4,2,17.529701,78.333031,1.0,0,0,0,0,0,0,0,6000000.0
2.0,3,3.0,3,6,15,6824.0,1685.0,1,5,3,17.5316,78.26729,1.0,1,0,1,0,1,0,0,11500000.0
0.0,1,3.0,0,2,2,9090.0,1540.0,2,2,3,17.443354,78.182044,0.0,0,0,0,0,0,0,0,14000000.0
2.0,1,3.0,1,5,5,12380.0,1050.0,1,4,3,17.38504,78.48667,1.0,0,0,0,0,0,0,0,13000000.0
2.0,1,3.0,3,6,5,7761.0,1675.0,2,5,3,17.6415169517376,77.8465246295364,1.0,1,0,1,1,1,0,0,13000000.0
2.0,1,3.0,6,3,9,7377.0,1830.0,2,9,3,17.499527,78.4767399,1.0,0,0,1,1,0,0,0,13500000.0
2.0,1,2.0,0,1,6,8623.0,1090.0,1,3,2,17.48718,78.5786,1.0,1,0,1,0,1,0,0,9400000.0
2.0,1,2.0,3,5,5,5700.0,1000.0,1,5,2,17.527169,78.536787,1.0,0,0,0,0,0,1,0,6500000.0
0.0,1,3.0,0,3,1,5745.0,2106.0,1,1,3,17.441208,78.650905,1.0,0,0,0,0,0,1,0,12100000.0
0.0,1,2.0,2,3,1,13888.0,1800.0,1,1,2,17.4626216,78.6313624,1.0,0,0,0,0,0,0,0,25000000.0
2.0,1,2.0,1,5,12,6000.0,918.0,1,12,2,17.443855,78.250431,1.0,0,0,0,0,0,0,0,5800000.0
2.0,3,2.0,3,6,5,4285.0,910.0,1,5,2,78.48667,17.38504,1.0,0,0,0,0,0,0,0,3900000.0
2.0,1,3.0,3,6,5,9608.0,1405.0,1,2,3,17.443855,78.250431,0.0,0,0,0,0,0,0,0,12900000.0
2.0,1,3.0,5,5,4,6000.0,2000.0,3,1,3,17.443395,78.597343,1.0,0,0,0,0,0,0,0,12000000.0
2.0,1,2.0,3,3,5,5900.0,1000.0,1,5,2,17.20869,78.47603,2.0,0,0,0,0,0,0,0,5900000.0
0.0,1,5.0,3,6,3,4230.0,5800.0,3,3,5,17.38504,78.48667,1.0,0,0,0,0,0,0,0,27500000.0
2.0,1,3.0,3,6,4,5059.0,1680.0,1,3,3,17.449237,78.5007657,2.0,0,0,0,0,0,0,0,8500000.0
2.0,1,2.0,3,1,5,4837.0,1075.0,2,1,2,17.233562897673416,78.54189608906688,1.0,0,0,0,0,0,0,0,5200000.0
0.0,1,4.0,0,1,2,5346.0,2600.0,1,2,4,17.413956,78.408351,0.0,0,0,0,0,0,0,0,13899999.999999998
2.0,1,3.0,3,5,5,6499.0,1700.0,1,1,3,17.423148,78.377041,1.0,1,0,1,0,1,0,0,12500000.0
2.0,1,2.0,3,6,14,6200.0,1214.0,2,9,2,17.4609913,78.3532083,1.0,1,0,1,0,1,0,0,8800000.0
2.0,1,3.0,3,2,4,7000.0,1670.0,3,4,3,17.4359437,78.3416731,1.0,0,0,0,0,0,0,0,12000000.0
2.0,1,2.0,1,2,5,5510.0,980.0,2,2,2,17.4359437,78.3416731,2.0,0,0,0,1,0,0,0,5400000.0
2.0,1,3.0,0,1,4,5500.0,2000.0,2,1,3,17.437012,78.371384,1.0,0,0,0,0,0,0,0,11000000.0
2.0,1,3.0,1,1,10,11728.0,1420.0,2,9,3,17.5204109,78.3986334,1.0,0,0,0,0,0,0,0,11500000.0
2.0,1,3.0,0,1,9,9523.0,2300.0,3,6,3,17.507274,78.336602,0.0,0,0,0,0,0,0,0,20000000.0
2.0,1,3.0,4,6,12,8225.0,1945.0,1,8,3,17.4359437,78.3416731,1.0,1,0,1,1,1,1,1,16000000.0
2.0,1,2.0,3,6,5,5463.0,1025.0,2,2,2,17.4359437,78.3416731,1.0,0,0,0,0,0,0,0,5800000.0
2.0,1,3.0,3,6,12,7046.0,1845.0,2,6,3,17.538237,78.480804,1.0,1,0,1,1,1,0,0,13000000.0
2.0,1,3.0,3,5,5,10245.0,1525.0,2,2,3,17.71607,78.52229,1.0,0,0,0,1,0,0,0,12500000.0
